Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation,is_last_day,day,month,year,date,year-month
04/04,1.5571989116,1.6567305181,1.2636272554,1.2682409946,0,4,4,2014,2014-04-04,2014-4
04/07,1.571048435,1.6567305181,1.2727836208,1.2682409946,0,7,4,2014,2014-04-07,2014-4
04/08,1.7743765355,1.6567305181,1.4072103677,1.2682409946,0,8,4,2014,2014-04-08,2014-4
04/09,1.7743765355,1.6567305181,1.4072103677,1.2682409946,0,9,4,2014,2014-04-09,2014-4
04/10,1.7743765355,1.6567305181,1.4072103677,1.2682409946,0,10,4,2014,2014-04-10,2014-4
04/11,1.7743765355,1.6567305181,1.4072103677,1.2682409946,0,11,4,2014,2014-04-11,2014-4
04/14,1.7743765355,1.6567305181,1.4072103677,1.2682409946,0,14,4,2014,2014-04-14,2014-4
04/15,1.9227864915,1.7353381588,1.5409546059,1.3442288374,0,15,4,2014,2014-04-15,2014-4
04/16,1.9227864915,1.7353381588,1.5409546059,1.3442288374,0,16,4,2014,2014-04-16,2014-4
04/17,1.9227864915,1.7353381588,1.5409546059,1.3442288374,0,17,4,2014,2014-04-17,2014-4
04/18,1.9227864915,1.7353381588,1.5409546059,1.3442288374,0,18,4,2014,2014-04-18,2014-4
04/21,1.9227864915,1.7353381588,1.5409546059,1.3442288374,0,21,4,2014,2014-04-21,2014-4
04/22,1.9510861224,1.7353381588,1.5595713882,1.3442288374,0,22,4,2014,2014-04-22,2014-4
04/23,1.9510861224,1.7353381588,1.5595713882,1.3442288374,0,23,4,2014,2014-04-23,2014-4
04/24,1.9510861224,1.7353381588,1.5595713882,1.3442288374,0,24,4,2014,2014-04-24,2014-4
04/25,1.9510861224,1.7353381588,1.5595713882,1.3442288374,0,25,4,2014,2014-04-25,2014-4
04/28,1.9510861224,1.7353381588,1.5595713882,1.3442288374,0,28,4,2014,2014-04-28,2014-4
04/29,1.9757605939,1.7353381588,1.5758033761,1.3442288374,0,29,4,2014,2014-04-29,2014-4
04/30,1.9757605939,1.7353381588,1.5758033761,1.3442288374,1,30,4,2014,2014-04-30,2014-4
05/01,1.9083494101,1.7282391078,1.6011928876,1.3756627918,0,1,5,2014,2014-05-01,2014-5
05/02,1.8873060374,1.7282391078,1.5873732087,1.3756627918,0,2,5,2014,2014-05-02,2014-5
05/05,1.9018745262,1.7282391078,1.5969406787,1.3756627918,0,5,5,2014,2014-05-05,2014-5
05/06,1.9911338257,1.7282391078,1.6555593649,1.3756627918,0,6,5,2014,2014-05-06,2014-5
05/07,1.9911338257,1.7282391078,1.6555593649,1.3756627918,0,7,5,2014,2014-05-07,2014-5
05/08,1.9911338257,1.7282391078,1.6555593649,1.3756627918,0,8,5,2014,2014-05-08,2014-5
05/09,1.9911338257,1.7282391078,1.6555593649,1.3756627918,0,9,5,2014,2014-05-09,2014-5
05/12,1.9911338257,1.7282391078,1.6555593649,1.3756627918,0,12,5,2014,2014-05-12,2014-5
05/13,1.9809562511,1.7282391078,1.6488755117,1.3756627918,0,13,5,2014,2014-05-13,2014-5
05/14,1.9809562511,1.7282391078,1.6488755117,1.3756627918,0,14,5,2014,2014-05-14,2014-5
05/15,1.9599822341,1.8334113952,1.6660906066,1.4790607704,0,15,5,2014,2014-05-15,2014-5
05/16,1.9599822341,1.8334113952,1.6660906066,1.4790607704,0,16,5,2014,2014-05-16,2014-5
05/19,1.9599822341,1.8334113952,1.6660906066,1.4790607704,0,19,5,2014,2014-05-19,2014-5
05/20,1.9553259252,1.8334113952,1.663059341,1.4790607704,0,20,5,2014,2014-05-20,2014-5
05/21,1.9553259252,1.8334113952,1.663059341,1.4790607704,0,21,5,2014,2014-05-21,2014-5
05/22,1.9553259252,1.8334113952,1.663059341,1.4790607704,0,22,5,2014,2014-05-22,2014-5
05/23,1.9553259252,1.8334113952,1.663059341,1.4790607704,0,23,5,2014,2014-05-23,2014-5
05/27,1.9553259252,1.8334113952,1.663059341,1.4790607704,0,27,5,2014,2014-05-27,2014-5
05/28,1.9553259252,1.8334113952,1.663059341,1.4790607704,0,28,5,2014,2014-05-28,2014-5
05/29,1.9553259252,1.8334113952,1.663059341,1.4790607704,0,29,5,2014,2014-05-29,2014-5
05/30,1.9553259252,1.8334113952,1.663894559,1.449083745,1,30,5,2014,2014-05-30,2014-5
06/02,1.8108616647,1.8389554509,1.4503505027,1.3693465582,0,2,6,2014,2014-06-02,2014-6
06/03,1.9079035488,1.8389554509,1.5138401022,1.3693465582,0,3,6,2014,2014-06-03,2014-6
06/04,1.9079035488,1.8389554509,1.5138401022,1.3693465582,0,4,6,2014,2014-06-04,2014-6
06/05,1.9079035488,1.8389554509,1.5138401022,1.3693465582,0,5,6,2014,2014-06-05,2014-6
06/06,1.9079035488,1.8389554509,1.5138401022,1.3693465582,0,6,6,2014,2014-06-06,2014-6
06/09,1.9079035488,1.8389554509,1.5138401022,1.3693465582,0,9,6,2014,2014-06-09,2014-6
06/10,1.8973087126,1.8389554509,1.5069084364,1.3693465582,0,10,6,2014,2014-06-10,2014-6
06/11,1.8973087126,1.8389554509,1.5069084364,1.3693465582,0,11,6,2014,2014-06-11,2014-6
06/12,1.8973087126,1.8389554509,1.5069084364,1.3693465582,0,12,6,2014,2014-06-12,2014-6
06/13,1.8973087126,1.8389554509,1.5069084364,1.3693465582,0,13,6,2014,2014-06-13,2014-6
06/16,1.8973087126,1.8389554509,1.5069084364,1.3693465582,0,16,6,2014,2014-06-16,2014-6
06/17,2.0898055936,1.9708860026,1.6492524951,1.4866818064,0,17,6,2014,2014-06-17,2014-6
06/18,2.0898055936,1.9708860026,1.6492524951,1.4866818064,0,18,6,2014,2014-06-18,2014-6
06/19,2.0898055936,1.9708860026,1.6492524951,1.4866818064,0,19,6,2014,2014-06-19,2014-6
06/20,2.0898055936,1.9708860026,1.6492524951,1.4866818064,0,20,6,2014,2014-06-20,2014-6
06/23,2.0898055936,1.9708860026,1.6492524951,1.4866818064,0,23,6,2014,2014-06-23,2014-6
06/24,2.0966090286,1.9708860026,1.6536881216,1.4866818064,0,24,6,2014,2014-06-24,2014-6
06/25,2.0966090286,1.9708860026,1.6536881216,1.4866818064,0,25,6,2014,2014-06-25,2014-6
06/26,2.096609,1.970886,1.62565,1.413084,0,26,6,2014,2014-06-26,2014-6
06/27,2.0966090286,1.9708860026,1.625650041,1.4130838428,0,27,6,2014,2014-06-27,2014-6
06/30,2.0966090286,1.9708860026,1.625650041,1.4130838428,1,30,6,2014,2014-06-30,2014-6
07/01,2.0591880799,1.9695102663,1.6485029203,1.4493466001,0,1,7,2014,2014-07-01,2014-7
07/02,2.0595161342,1.9695102663,1.6487170363,1.4493466001,0,2,7,2014,2014-07-02,2014-7
07/03,2.0421292584,1.9695102663,1.6373688894,1.4493466001,0,3,7,2014,2014-07-03,2014-7
07/07,2.0222819757,1.9695102663,1.6244148728,1.4493466001,0,7,7,2014,2014-07-07,2014-7
07/08,2.1281815175,1.9695102663,1.6935338777,1.4493466001,0,8,7,2014,2014-07-08,2014-7
07/09,2.1281815175,1.9695102663,1.6935338777,1.4493466001,0,9,7,2014,2014-07-09,2014-7
07/10,2.1281815175,1.9695102663,1.6935338777,1.4493466001,0,10,7,2014,2014-07-10,2014-7
07/11,2.1281815175,1.9695102663,1.6935338777,1.4493466001,0,11,7,2014,2014-07-11,2014-7
07/14,2.1281815175,1.9695102663,1.6935338777,1.4493466001,0,14,7,2014,2014-07-14,2014-7
07/15,2.1003574552,1.9695102663,1.6753735395,1.4493466001,0,15,7,2014,2014-07-15,2014-7
07/16,2.1003574552,1.9695102663,1.6753735395,1.4493466001,0,16,7,2014,2014-07-16,2014-7
07/17,2.1003574552,1.9695102663,1.6753735395,1.4493466001,0,17,7,2014,2014-07-17,2014-7
07/18,2.1003574552,1.9695102663,1.6753735395,1.4493466001,0,18,7,2014,2014-07-18,2014-7
07/21,2.1003574552,1.9695102663,1.6753735395,1.4493466001,0,21,7,2014,2014-07-21,2014-7
07/22,2.0446990766,1.9292335457,1.600221575,1.4133506297,0,22,7,2014,2014-07-22,2014-7
07/23,2.0446990766,1.9292335457,1.600221575,1.4133506297,0,23,7,2014,2014-07-23,2014-7
07/24,2.0446990766,1.9292335457,1.600221575,1.4133506297,0,24,7,2014,2014-07-24,2014-7
07/25,2.0446990766,1.9292335457,1.600221575,1.4133506297,0,25,7,2014,2014-07-25,2014-7
07/28,2.0446990766,1.9292335457,1.600221575,1.4133506297,0,28,7,2014,2014-07-28,2014-7
07/29,2.013182715,1.9292335457,1.579200361,1.4133506297,0,29,7,2014,2014-07-29,2014-7
07/30,2.013182715,1.9292335457,1.579200361,1.4133506297,0,30,7,2014,2014-07-30,2014-7
07/31,2.013182715,1.9292335457,1.579200361,1.4133506297,1,31,7,2014,2014-07-31,2014-7
08/01,1.9413246706,1.9509646351,1.5608029315,1.536123686,0,1,8,2014,2014-08-01,2014-8
08/04,1.9413246706,1.9509646351,1.5608029315,1.536123686,0,4,8,2014,2014-08-04,2014-8
08/05,1.9512709174,1.9509646351,1.5665263409,1.536123686,0,5,8,2014,2014-08-05,2014-8
08/06,1.9512709174,1.9509646351,1.5665263409,1.536123686,0,6,8,2014,2014-08-06,2014-8
08/07,1.9512709174,1.9509646351,1.5665263409,1.536123686,0,7,8,2014,2014-08-07,2014-8
08/08,1.9512709174,1.9509646351,1.5665263409,1.536123686,0,8,8,2014,2014-08-08,2014-8
08/11,1.9512709174,1.9509646351,1.5665263409,1.536123686,0,11,8,2014,2014-08-11,2014-8
08/12,1.9424757731,1.9509646351,1.5614653151,1.536123686,0,12,8,2014,2014-08-12,2014-8
08/13,1.9424757731,1.9509646351,1.5614653151,1.536123686,0,13,8,2014,2014-08-13,2014-8
08/14,1.9424757731,1.9509646351,1.5614653151,1.536123686,0,14,8,2014,2014-08-14,2014-8
08/15,1.9424757731,1.9509646351,1.5614653151,1.536123686,0,15,8,2014,2014-08-15,2014-8
08/18,1.9424757731,1.9509646351,1.5614653151,1.536123686,0,18,8,2014,2014-08-18,2014-8
08/19,1.9049652473,1.8752574913,1.5288236774,1.4810115678,0,19,8,2014,2014-08-19,2014-8
08/20,1.904965,1.875257,1.528824,1.481012,0,20,8,2014,2014-08-20,2014-8
08/21,1.9049652473,1.8752574913,1.5288236774,1.4810115678,0,21,8,2014,2014-08-21,2014-8
08/22,1.9049652473,1.8752574913,1.5288236774,1.4810115678,0,22,8,2014,2014-08-22,2014-8
08/25,1.904965,1.875257,1.528824,1.481012,0,25,8,2014,2014-08-25,2014-8
08/26,1.8903804092,1.8752574913,1.5204483974,1.4810115678,0,26,8,2014,2014-08-26,2014-8
08/27,1.8903804092,1.8752574913,1.5204483974,1.4810115678,0,27,8,2014,2014-08-27,2014-8
08/28,1.89038,1.875257,1.520448,1.481012,0,28,8,2014,2014-08-28,2014-8
08/29,1.8903804092,1.8752574913,1.5157073297,1.4986263522,1,29,8,2014,2014-08-29,2014-8
09/02,1.9002686933,1.9013545116,1.558739391,1.5203786871,0,2,9,2014,2014-09-02,2014-9
09/03,1.9421409091,1.9013545116,1.5828268534,1.5203786871,0,3,9,2014,2014-09-03,2014-9
09/04,1.9421409091,1.9013545116,1.5828268534,1.5203786871,0,4,9,2014,2014-09-04,2014-9
